region,date_start,date_end,Re,lower_CI,upper_CI
Ontario,07/22/2021,07/28/2021,1.01,0.95,1.07
Ontario,07/23/2021,07/29/2021,1.04,0.98,1.11
Ontario,07/24/2021,07/30/2021,1.08,1.02,1.15
Ontario,07/25/2021,07/31/2021,1.15,1.09,1.22
Ontario,07/26/2021,08/01/2021,1.17,1.11,1.23
Ontario,07/27/2021,08/02/2021,1.17,1.11,1.23
Ontario,07/28/2021,08/03/2021,1.17,1.11,1.23
Ontario,07/29/2021,08/04/2021,1.14,1.08,1.2
Ontario,07/30/2021,08/05/2021,1.11,1.05,1.16
Ontario,07/31/2021,08/06/2021,1.15,1.09,1.21
Ontario,08/01/2021,08/07/2021,1.2,1.15,1.26
Ontario,08/02/2021,08/08/2021,1.3,1.25,1.36
Ontario,08/03/2021,08/09/2021,1.35,1.3,1.42
Ontario,08/04/2021,08/10/2021,1.38,1.32,1.44
Ontario,08/05/2021,08/11/2021,1.38,1.32,1.44
Ontario,08/06/2021,08/12/2021,1.43,1.38,1.49
Ontario,08/07/2021,08/13/2021,1.42,1.37,1.47
Ontario,08/08/2021,08/14/2021,1.4,1.35,1.45
Ontario,08/09/2021,08/15/2021,1.33,1.29,1.38
Ontario,08/10/2021,08/16/2021,1.32,1.27,1.36
Ontario,08/11/2021,08/17/2021,1.24,1.2,1.28
Ontario,08/12/2021,08/18/2021,1.22,1.18,1.26
Ontario,08/13/2021,08/19/2021,1.2,1.16,1.24
Ontario,08/14/2021,08/20/2021,1.18,1.15,1.22
Ontario,08/15/2021,08/21/2021,1.18,1.14,1.21
Ontario,08/16/2021,08/22/2021,1.19,1.16,1.23
Ontario,08/17/2021,08/23/2021,1.18,1.15,1.22
Ontario,08/18/2021,08/24/2021,1.15,1.12,1.19
Ontario,08/19/2021,08/25/2021,1.14,1.1,1.17
Ontario,08/20/2021,08/26/2021,1.13,1.1,1.17
Ontario,08/21/2021,08/27/2021,1.13,1.1,1.17
Ontario,08/22/2021,08/28/2021,1.13,1.1,1.17
Ontario,08/23/2021,08/29/2021,1.11,1.07,1.14
Ontario,08/24/2021,08/30/2021,1.09,1.06,1.12
Ontario,08/25/2021,08/31/2021,1.09,1.06,1.12
Ontario,08/26/2021,09/01/2021,1.08,1.05,1.11
Ontario,08/27/2021,09/02/2021,1.09,1.06,1.12
Ontario,08/28/2021,09/03/2021,1.08,1.05,1.11
Ontario,08/29/2021,09/04/2021,1.08,1.05,1.11
Ontario,08/30/2021,09/05/2021,1.07,1.04,1.1
Ontario,08/31/2021,09/06/2021,1.03,1.01,1.06
Ontario,09/01/2021,09/07/2021,1.02,1,1.05
Ontario,09/02/2021,09/08/2021,1,0.97,1.02
Ontario,09/03/2021,09/09/2021,0.97,0.94,1
Ontario,09/04/2021,09/10/2021,0.98,0.96,1.01
Ontario,09/05/2021,09/11/2021,0.97,0.94,1
Ontario,09/06/2021,09/12/2021,0.97,0.95,1
Ontario,09/07/2021,09/13/2021,0.98,0.95,1.01
Ontario,09/08/2021,09/14/2021,0.99,0.97,1.02
