"date","agegroup","cases_unvac_rate_per100K","cases_partial_vac_rate_per100K","cases_notfull_vac_rate_per100K","cases_full_vac_rate_per100K","cases_boost_vac_rate_per100K","cases_unvac_rate_7ma","cases_partial_vac_rate_7ma","cases_notfull_vac_rate_7ma","cases_full_vac_rate_7ma","cases_boost_vac_rate_7ma"
2021-10-05,"0-11yrs",4.71,0.00,,0.00,,5.81,1.71,,-0.00,
2021-10-05,"60-79yrs",10.47,0.00,,0.67,,13.68,2.30,,1.10,
2021-10-05,"80+",66.97,0.00,,0.79,,56.19,0.74,,1.29,
2021-10-06,"0-11yrs",4.55,0.00,,0.00,,5.85,0.00,,-0.00,
2021-10-06,"60-79yrs",19.19,1.40,,1.34,,14.73,1.94,,1.20,
2021-10-06,"80+",17.73,0.00,,0.16,,55.09,0.74,,1.25,
2021-10-07,"0-11yrs",6.12,0.00,,0.00,,5.72,0.00,,0.00,
2021-10-07,"60-79yrs",22.77,2.82,,1.31,,15.29,2.15,,1.23,
2021-10-07,"80+",0.00,10.61,,1.11,,51.29,2.26,,1.27,
2021-10-08,"0-11yrs",5.16,9.47,,0.00,,5.58,1.35,,0.00,
2021-10-08,"60-79yrs",25.72,2.85,,1.60,,16.69,1.98,,1.25,
2021-10-08,"80+",61.19,0.00,,0.95,,54.05,1.52,,1.22,
2021-10-09,"0-11yrs",7.24,0.00,,0.00,,5.53,1.35,,0.00,
2021-10-09,"60-79yrs",21.20,2.89,,1.19,,17.98,1.62,,1.22,
2021-10-09,"80+",131.8,5.37,,1.11,,66.58,2.28,,1.06,
2021-10-10,"0-11yrs",5.05,10.98,,0.00,,5.49,2.92,,0.00,
2021-10-10,"60-79yrs",14.48,0.00,,1.12,,18.48,1.42,,1.20,
2021-10-10,"80+",70.24,0.00,,0.79,,65.65,2.28,,0.95,
2021-10-11,"0-11yrs",4.32,0.00,,0.00,,5.31,2.92,,0.00,
2021-10-11,"60-79yrs",19.41,2.92,,1.30,,19.03,1.84,,1.22,
2021-10-11,"80+",124.6,0.00,,0.63,,67.50,2.28,,0.79,
2021-10-12,"0-11yrs",4.26,0.00,,0.00,,5.24,2.92,,0.00,
2021-10-12,"60-79yrs",11.88,1.47,,1.26,,19.24,2.05,,1.30,
2021-10-12,"80+",53.62,0.00,,1.42,,65.60,2.28,,0.88,
2021-10-13,"0-11yrs",3.81,0.00,,0.00,,5.14,2.92,,0.00,
2021-10-13,"60-79yrs",7.78,0.00,,0.67,,17.61,1.85,,1.21,
2021-10-13,"80+",89.18,0.00,,0.95,,75.80,2.28,,0.99,
2021-10-14,"0-11yrs",3.31,0.00,,9.09,,4.74,2.92,,1.30,
2021-10-14,"60-79yrs",15.71,2.99,,1.37,,16.60,1.87,,1.22,
2021-10-14,"80+",164.6,0.00,,2.05,,99.32,0.77,,1.13,
2021-10-15,"0-11yrs",4.43,0.00,,0.00,,4.63,1.57,,1.30,
2021-10-15,"60-79yrs",19.45,1.51,,1.08,,15.70,1.68,,1.14,
2021-10-15,"80+",36.35,0.00,,1.42,,95.77,0.77,,1.20,
2021-10-16,"0-11yrs",4.88,0.00,,0.00,,4.29,1.57,,1.30,
2021-10-16,"60-79yrs",17.46,3.04,,1.15,,15.17,1.70,,1.14,
2021-10-16,"80+",207.3,0.00,,0.00,,106.6,0.00,,1.04,
2021-10-17,"0-11yrs",4.21,0.00,,0.00,,4.17,0.00,,1.30,
2021-10-17,"60-79yrs",10.99,3.07,,1.63,,14.67,2.14,,1.21,
2021-10-17,"80+",231.8,5.49,,2.05,,129.6,0.78,,1.22,
2021-10-18,"0-11yrs",4.21,0.00,,0.00,,4.16,-0.00,,1.30,
2021-10-18,"60-79yrs",15.45,1.54,,0.74,,14.10,1.95,,1.13,
2021-10-18,"80+",0.00,5.50,,0.63,,111.8,1.57,,1.22,
2021-10-19,"0-11yrs",3.98,0.00,,0.00,,4.12,-0.00,,1.30,
2021-10-19,"60-79yrs",8.16,4.64,,0.78,,13.57,2.40,,1.06,
2021-10-19,"80+",0.00,0.00,,0.31,,104.2,1.57,,1.06,
2021-10-20,"0-11yrs",3.20,0.00,,0.00,,4.03,0.00,,1.30,
2021-10-20,"60-79yrs",9.00,0.00,,0.48,,13.75,2.40,,1.03,
2021-10-20,"80+",224.2,5.54,,0.00,,123.5,2.36,,0.92,
2021-10-21,"0-11yrs",4.15,17.23,,0.00,,4.15,2.46,,-0.00,
2021-10-21,"60-79yrs",12.12,1.58,,1.00,,13.23,2.20,,0.98,
2021-10-21,"80+",388.7,0.00,,0.47,,155.5,2.36,,0.70,
2021-10-22,"0-11yrs",4.93,0.00,,0.00,,4.22,2.46,,-0.00,
2021-10-22,"60-79yrs",15.32,1.59,,1.22,,12.64,2.21,,1.00,
2021-10-22,"80+",447.8,5.61,,0.47,,214.3,3.16,,0.56,
2021-10-23,"0-11yrs",3.98,0.00,,0.00,,4.09,2.46,,-0.00,
2021-10-23,"60-79yrs",6.20,1.61,,0.41,,11.03,2.00,,0.89,
2021-10-23,"80+",533.3,5.63,,0.47,,260.8,3.97,,0.63,
2021-10-24,"0-11yrs",4.31,0.00,,0.00,,4.11,2.46,,-0.00,
2022-03-31,"0-4yrs",,,15.35,0.00,0.00,,,15.35,0.00,0.00
2022-03-31,"12-17yrs",,,12.05,16.56,15.06,,,12.05,16.56,15.06
2022-03-31,"18-39yrs",,,12.18,19.05,38.63,,,12.18,19.05,38.63
2022-03-31,"40-59yrs",,,11.11,16.24,26.36,,,11.11,16.24,26.36
2022-03-31,"5-11yrs",,,11.01,19.07,0.00,,,11.01,19.07,0.00
2022-03-31,"60+",,,33.70,12.58,13.70,,,33.70,12.58,13.70
2022-03-31,"ALL",,,13.33,17.24,24.22,,,13.33,17.24,24.22
