"Date","PHU ID","PHU name","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2021-07-26,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON","Undisclosed_or_missing",64,7,,,0,,,
2021-07-26,2242,"LAMBTON COUNTY","Undisclosed_or_missing",11,7,,,0,,,
2021-07-26,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT","Undisclosed_or_missing",19,13,,,0,,,
2021-07-26,2244,"MIDDLESEX-LONDON","Undisclosed_or_missing",51,18,,,0,,,
2021-07-26,2246,"NIAGARA REGION","Undisclosed_or_missing",29,5,,,0,,,
2021-07-26,2247,"NORTH BAY PARRY SOUND DISTRICT","Undisclosed_or_missing",10,1,,,0,,,
2021-07-26,2249,"NORTHWESTERN","Undisclosed_or_missing",16,5,,,0,,,
2021-07-26,2251,"CITY OF OTTAWA","Undisclosed_or_missing",2701,2417,,,0,,,
2021-07-26,2253,"PEEL REGION","Undisclosed_or_missing",153,48,,,0,,,
2021-07-26,2255,"PETERBOROUGH COUNTY-CITY","Undisclosed_or_missing",24,11,,,0,,,
2021-07-26,2256,"PORCUPINE","Undisclosed_or_missing",11,4,,,0,,,
2021-07-26,2257,"RENFREW COUNTY AND DISTRICT","Undisclosed_or_missing",6,1,,,0,,,
2021-07-26,2258,"EASTERN ONTARIO","Undisclosed_or_missing",17,6,,,0,,,
2021-07-26,2260,"SIMCOE MUSKOKA DISTRICT","Undisclosed_or_missing",16,2,,,0,,,
2021-07-26,2261,"SUDBURY AND DISTRICT","Undisclosed_or_missing",27,8,,,0,,,
2021-07-26,2262,"THUNDER BAY DISTRICT","Undisclosed_or_missing",41,16,,,0,,,
2021-07-26,2263,"TIMISKAMING","Undisclosed_or_missing",3,2,,,0,,,
2021-07-26,2265,"WATERLOO REGION","Undisclosed_or_missing",34,3,,,0,,,
2021-07-26,2266,"WELLINGTON-DUFFERIN-GUELPH","Undisclosed_or_missing",19,6,,,0,,,
2021-07-26,2268,"WINDSOR-ESSEX COUNTY","Undisclosed_or_missing",51,21,,,0,,,
2021-07-26,2270,"YORK REGION","Undisclosed_or_missing",46,15,,,0,,,
2021-07-26,3895,"TORONTO","Undisclosed_or_missing",443,184,,,0,,,
2021-07-26,4913,"SOUTHWESTERN","Undisclosed_or_missing",4,,,,0,,,
2021-07-26,5183,"HURON PERTH","Undisclosed_or_missing",4,,,,0,,,
2021-07-26,9999,"UNKNOWN","Undisclosed_or_missing",15,2,,,0,,,
2021-07-27,2226,"ALGOMA DISTRICT","12-17yrs",3857,1922,,,6504,.5930,.2955,
2021-07-27,2227,"BRANT COUNTY","12-17yrs",6323,3657,,,10734,.5890,.3407,
2021-07-27,2230,"DURHAM REGION","12-17yrs",34184,18658,,,51038,.6698,.3656,
2021-07-27,2233,"GREY BRUCE","12-17yrs",5566,3699,,,10179,.5468,.3634,
2021-07-27,2234,"HALDIMAND-NORFOLK","12-17yrs",3177,1840,,,7138,.4451,.2578,
2021-07-27,2235,"HALIBURTON, KAWARTHA, PINE RIDGE","12-17yrs",5855,3310,,,10093,.5801,.3280,
2021-07-27,2236,"HALTON REGION","12-17yrs",36788,27549,,,49248,.7470,.5594,
2021-07-27,2237,"CITY OF HAMILTON","12-17yrs",21845,14466,,,37018,.5901,.3908,
2021-07-27,2238,"HASTINGS & PRINCE EDWARD COUNTIES","12-17yrs",5723,3743,,,9953,.5750,.3761,
2021-07-27,2240,"CHATHAM-KENT","12-17yrs",3245,1967,,,7233,.4486,.2719,
2021-07-27,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON","12-17yrs",8648,5296,,,11803,.7327,.4487,
2021-07-27,2242,"LAMBTON COUNTY","12-17yrs",4473,2572,,,8280,.5402,.3106,
2021-07-27,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT","12-17yrs",6962,3876,,,10477,.6645,.3700,
2021-07-27,2244,"MIDDLESEX-LONDON","12-17yrs",22413,11671,,,31735,.7063,.3678,
2021-07-27,2246,"NIAGARA REGION","12-17yrs",16735,10770,,,28353,.5902,.3799,
2021-07-27,2247,"NORTH BAY PARRY SOUND DISTRICT","12-17yrs",4151,2650,,,7244,.5730,.3658,
2021-07-27,2249,"NORTHWESTERN","12-17yrs",4189,2336,,,6670,.6280,.3502,
2021-07-27,2251,"CITY OF OTTAWA","12-17yrs",50924,32577,,,66222,.7690,.4919,
2021-07-27,2253,"PEEL REGION","12-17yrs",74264,50779,,,118974,.6242,.4268,
2021-07-27,2255,"PETERBOROUGH COUNTY-CITY","12-17yrs",4956,3052,,,8041,.6163,.3796,
2021-07-27,2256,"PORCUPINE","12-17yrs",3191,2106,,,5754,.5546,.3660,
2021-07-27,2257,"RENFREW COUNTY AND DISTRICT","12-17yrs",3767,2584,,,6329,.5952,.4083,
2021-07-27,2258,"EASTERN ONTARIO","12-17yrs",7843,3790,,,13423,.5843,.2824,
2021-07-27,2260,"SIMCOE MUSKOKA DISTRICT","12-17yrs",22834,12951,,,37614,.6071,.3443,
2021-07-27,2261,"SUDBURY AND DISTRICT","12-17yrs",7149,4277,,,11889,.6013,.3597,
2021-07-27,2262,"THUNDER BAY DISTRICT","12-17yrs",5857,3789,,,9043,.6477,.4190,
2021-07-27,2263,"TIMISKAMING","12-17yrs",1041,597,,,1897,.5487,.3147,
2021-07-27,2265,"WATERLOO REGION","12-17yrs",27154,16687,,,40049,.6780,.4167,
2021-07-27,2266,"WELLINGTON-DUFFERIN-GUELPH","12-17yrs",13862,8778,,,21168,.6549,.4147,
2021-07-27,2268,"WINDSOR-ESSEX COUNTY","12-17yrs",16743,11267,,,29770,.5624,.3785,
2021-07-27,2270,"YORK REGION","12-17yrs",61652,42719,,,89973,.6852,.4748,
2021-07-27,3895,"TORONTO","12-17yrs",108465,79916,,,162546,.6673,.4917,
2021-07-27,4913,"SOUTHWESTERN","12-17yrs",8362,3371,,,15337,.5452,.2198,
2021-07-27,5183,"HURON PERTH","12-17yrs",5314,2151,,,9790,.5428,.2197,
2021-07-27,9999,"UNKNOWN","12-17yrs",222,21,,,0,,,
2021-07-27,2226,"ALGOMA DISTRICT","18-29yrs",9843,6817,,,15509,.6347,.4396,
2021-07-27,2227,"BRANT COUNTY","18-29yrs",15786,11491,,,24059,.6562,.4776,
2021-07-27,2230,"DURHAM REGION","18-29yrs",79908,60884,,,114063,.7006,.5338,
2021-07-27,2233,"GREY BRUCE","18-29yrs",13073,9981,,,22126,.5908,.4511,
2021-07-27,2234,"HALDIMAND-NORFOLK","18-29yrs",8204,5898,,,15900,.5160,.3710,
2021-07-27,2235,"HALIBURTON, KAWARTHA, PINE RIDGE","18-29yrs",14434,9981,,,22520,.6409,.4432,
2021-07-27,2236,"HALTON REGION","18-29yrs",67071,47708,,,95648,.7012,.4988,
2021-07-27,2237,"CITY OF HAMILTON","18-29yrs",64202,47740,,,100237,.6405,.4763,
2021-07-27,2238,"HASTINGS & PRINCE EDWARD COUNTIES","18-29yrs",12917,8219,,,22375,.5773,.3673,
2021-07-27,2240,"CHATHAM-KENT","18-29yrs",8121,5803,,,14984,.5420,.3873,
2021-07-27,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON","18-29yrs",24039,17962,,,34068,.7056,.5272,
2021-07-27,2242,"LAMBTON COUNTY","18-29yrs",11017,7796,,,18558,.5937,.4201,
2021-07-27,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT","18-29yrs",14798,10422,,,21695,.6821,.4804,
2021-07-27,2244,"MIDDLESEX-LONDON","18-29yrs",66065,44492,,,88180,.7492,.5046,
2021-07-27,2246,"NIAGARA REGION","18-29yrs",47183,33554,,,70592,.6684,.4753,
2021-07-27,2247,"NORTH BAY PARRY SOUND DISTRICT","18-29yrs",10149,7324,,,17552,.5782,.4173,
2021-07-27,2249,"NORTHWESTERN","18-29yrs",9780,7603,,,13990,.6991,.5434,
2021-07-27,2251,"CITY OF OTTAWA","18-29yrs",133985,99683,,,186587,.7181,.5342,
2021-07-27,2253,"PEEL REGION","18-29yrs",238891,165372,,,278974,.8563,.5928,
2021-07-27,2255,"PETERBOROUGH COUNTY-CITY","18-29yrs",14484,10496,,,21688,.6678,.4840,
2021-07-27,2256,"PORCUPINE","18-29yrs",7968,5709,,,12232,.6514,.4667,
2021-07-27,2257,"RENFREW COUNTY AND DISTRICT","18-29yrs",8379,6304,,,14861,.5638,.4242,
2021-07-27,2258,"EASTERN ONTARIO","18-29yrs",16618,10792,,,27830,.5971,.3878,
2021-07-27,2260,"SIMCOE MUSKOKA DISTRICT","18-29yrs",57032,37370,,,87904,.6488,.4251,
2021-07-27,2261,"SUDBURY AND DISTRICT","18-29yrs",18684,13169,,,29436,.6347,.4474,
2021-07-27,2262,"THUNDER BAY DISTRICT","18-29yrs",17713,13086,,,22251,.7961,.5881,
2021-07-27,2263,"TIMISKAMING","18-29yrs",2547,1731,,,4360,.5842,.3971,
2021-07-27,2265,"WATERLOO REGION","18-29yrs",82096,57797,,,99244,.8272,.5824,
2021-07-27,2266,"WELLINGTON-DUFFERIN-GUELPH","18-29yrs",34740,25739,,,50230,.6916,.5124,
2021-07-27,2268,"WINDSOR-ESSEX COUNTY","18-29yrs",47425,35852,,,72405,.6550,.4952,
2021-07-27,2270,"YORK REGION","18-29yrs",137981,112669,,,198762,.6942,.5669,
2021-07-27,3895,"TORONTO","18-29yrs",406989,324270,,,585930,.6946,.5534,
2021-07-27,4913,"SOUTHWESTERN","18-29yrs",18396,11352,,,30393,.6053,.3735,
2021-07-27,5183,"HURON PERTH","18-29yrs",12462,8334,,,20393,.6111,.4087,
2021-07-27,9999,"UNKNOWN","18-29yrs",1368,153,,,0,,,
2021-07-27,2226,"ALGOMA DISTRICT","30-39yrs",8825,6657,,,12062,.7316,.5519,
2021-07-27,2227,"BRANT COUNTY","30-39yrs",14596,11379,,,19698,.7410,.5777,
2021-07-27,2230,"DURHAM REGION","30-39yrs",74864,59694,,,93632,.7996,.6375,
2021-07-27,2233,"GREY BRUCE","30-39yrs",13424,10941,,,17931,.7486,.6102,
2021-07-27,2234,"HALDIMAND-NORFOLK","30-39yrs",8183,6236,,,11852,.6905,.5262,
2021-07-27,2235,"HALIBURTON, KAWARTHA, PINE RIDGE","30-39yrs",13614,10059,,,17429,.7811,.5771,
2021-07-27,2236,"HALTON REGION","30-39yrs",60821,45317,,,80648,.7542,.5619,
2021-07-27,2237,"CITY OF HAMILTON","30-39yrs",58384,46685,,,84056,.6946,.5554,
2021-07-27,2238,"HASTINGS & PRINCE EDWARD COUNTIES","30-39yrs",11520,8127,,,17863,.6449,.4550,
2021-07-27,2240,"CHATHAM-KENT","30-39yrs",7263,5565,,,11594,.6264,.4800,
2021-07-27,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON","30-39yrs",20195,15983,,,29909,.6752,.5344,
