"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2023-01-09,5299,215,196,664,37892018,12690761,465993,,12224768,7684705
2023-01-10,12158,415,317,786,37904176,12690885,466089,,12224796,7685237
2023-01-11,15541,457,371,1094,37919717,12691033,466172,,12224861,7686067
2023-01-12,14066,444,409,973,37933783,12691180,466206,,12224974,7686783
2023-01-13,14171,422,345,1040,37947954,12691357,466281,,12225076,7687606
2023-01-14,13386,473,451,1078,37961340,12691546,466298,,12225248,7688433
2023-01-15,9046,461,507,1055,37970386,12691752,466251,,12225501,7689274
2023-01-16,3746,146,130,479,37974132,12691637,466267,,12225370,7689519
2023-01-17,8851,267,179,653,37982983,12691582,466352,,12225230,7689898
2023-01-18,10263,349,272,761,37993246,12691651,466426,,12225225,7690406
2023-01-19,10593,316,318,761,38003839,12691686,466420,,12225266,7690926
2023-01-20,9828,317,272,717,38013667,12691728,466463,,12225265,7691398
2023-01-21,11304,355,398,904,38024971,12691806,466420,,12225386,7692068
2023-01-22,7567,343,405,817,38032538,12691902,466356,,12225546,7692663
2023-01-23,3380,143,131,288,38035918,12691826,466368,,12225458,7692757
2023-01-24,8288,227,166,549,38044206,12691766,466427,,12225339,7693055
2023-01-25,10306,347,297,662,38054512,12691860,466473,,12225387,7693501
2023-01-26,6721,236,203,469,38061233,12691821,466504,,12225317,7693735
2023-01-27,6910,236,197,498,38068143,12691773,466540,,12225233,7693989
2023-01-28,9350,312,339,695,38077493,12691814,466509,,12225305,7694447
2023-01-29,5967,235,341,691,38083460,12691787,466398,,12225389,7694902
2023-01-30,1899,88,79,215,38085359,12691612,466405,,12225207,7694885
2023-01-31,5879,156,150,414,38091238,12691485,466409,,12225076,7695045
2023-02-01,7302,248,248,494,38098540,12691501,466407,,12225094,7695337
2023-02-02,6482,295,239,502,38105022,12691563,466461,,12225102,7695647
2023-02-03,6549,196,193,464,38111571,12691525,466462,,12225063,7695902
2023-02-04,6729,231,306,543,38118300,12691535,466382,,12225153,7696257
2023-02-05,4176,198,291,484,38122476,12691485,466287,,12225198,7696535
2023-02-06,1834,90,98,212,38124310,12691323,466277,,12225046,7696518
2023-02-07,4964,160,181,385,38129274,12691218,466254,,12224964,7696674
2023-02-08,5769,212,206,430,38135043,12691190,466259,,12224931,7696890
2023-02-09,6124,211,244,439,38141167,12691180,466226,,12224954,7697139
2023-02-10,5087,159,207,372,38146254,12691161,466176,,12224985,7697351
2023-02-11,6052,185,259,458,38152306,12691116,466098,,12225018,7697600
2023-02-12,4082,219,342,409,38156388,12691116,465972,,12225144,7697809
2023-02-13,1483,57,87,146,38157871,12690966,465941,,12225025,7697781
2023-02-14,3944,131,179,309,38161815,12690853,465892,,12224961,7697872
2023-02-15,4539,119,191,286,38166354,12690753,465820,,12224933,7697966
2023-02-16,4914,175,284,400,38171268,12690697,465709,,12224988,7698161
2023-02-17,4982,181,210,342,38176250,12690669,465678,,12224991,7698323
2023-02-18,5115,232,294,487,38181365,12690676,465614,,12225062,7698610
2023-02-19,3353,132,244,373,38184718,12690589,465499,,12225090,7698799
2023-02-20,1419,63,54,158,38186137,12690446,465506,,12224940,7698780
2023-02-21,912,25,14,107,38187049,12690273,465515,,12224758,7698707
2023-02-22,4134,131,212,369,38191183,12690197,465429,,12224768,7698904
2023-02-23,4282,162,231,392,38195465,12690120,465353,,12224767,7699087
2023-02-24,3033,138,229,273,38198498,12690050,465258,,12224792,7699172
2023-02-25,5024,214,540,386,38203522,12690047,464931,,12225116,7699376
2023-02-26,3472,146,681,384,38206994,12689975,464393,,12225582,7699573
2023-02-27,1074,37,57,97,38208068,12689807,464370,,12225437,7699498
2023-02-28,2729,99,163,232,38210797,12689656,464304,,12225352,7699503
2023-03-01,3849,137,427,334,38214646,12689535,464012,,12225523,7699600
2023-03-02,4588,158,494,328,38219234,12689440,463670,,12225770,7699714
2023-03-03,4367,159,357,334,38223601,12689369,463470,,12225899,7699837
2023-03-04,4966,207,623,350,38228567,12689354,463052,,12226302,7699991
2023-03-05,2535,110,449,251,38231102,12689227,462712,,12226515,7700031
2023-03-06,1156,48,37,114,38232258,12689063,462721,,12226342,7699960
2023-03-07,3219,87,172,224,38235477,12688881,462633,,12226248,7699957
2023-03-08,4314,133,412,283,38239791,12688769,462353,,12226416,7700019
2023-03-09,4614,173,453,312,38244405,12688698,462068,,12226630,7700122
2023-03-10,3941,100,139,254,38248346,12688587,462027,,12226560,7700192
2023-03-11,4064,140,171,285,38252410,12688525,461993,,12226532,7700295
2023-03-12,2883,109,234,301,38255293,12688406,461862,,12226544,7700392
2023-03-13,862,29,32,106,38256155,12688233,461857,,12226376,7700321
2023-03-14,3078,100,109,257,38259233,12688103,461848,,12226255,7700379
2023-03-15,4099,141,163,310,38263332,12688035,461826,,12226209,7700501
2023-03-16,4020,176,234,277,38267352,12687939,461764,,12226175,7700549
2023-03-17,4290,168,202,310,38271642,12687843,461726,,12226117,7700621
2023-03-18,4361,144,194,298,38276003,12687750,461676,,12226074,7700706
2023-03-19,2722,129,233,255,38278725,12687693,461572,,12226121,7700788
2023-03-20,774,31,19,74,38279499,12687497,461584,,12225913,7700665
2023-03-21,2896,70,84,200,38282395,12687343,461566,,12225777,7700671
2023-03-22,3893,130,132,248,38286288,12687241,461561,,12225680,7700712
2023-03-23,3807,118,171,225,38290095,12687131,461503,,12225628,7700738
2023-03-24,3690,102,115,237,38293785,12687019,461489,,12225530,7700791
2023-03-25,4272,107,170,251,38298057,12686906,461421,,12225485,7700851
2023-03-26,2472,112,212,202,38300529,12686818,461318,,12225500,7700878
2023-03-27,915,48,32,68,38301444,12686690,461334,,12225356,7700792
2023-03-28,3104,86,78,202,38304548,12686555,461336,,12225219,7700799
2023-03-29,4168,128,136,222,38308716,12686448,461325,,12225123,7700814
2023-03-30,3838,108,164,211,38312554,12686339,461268,,12225071,7700826
2023-03-31,3985,140,109,222,38316539,12686261,461298,,12224963,7700861
2023-04-01,4188,135,147,225,38320727,12686188,461285,,12224903,7700902
2023-04-02,2180,58,122,173,38322907,12686006,461217,,12224789,7700864
2023-04-03,781,24,12,53,38323688,12685824,461228,,12224596,7700736
2023-04-04,3417,75,73,168,38327105,12685690,461229,,12224461,7700712
2023-04-05,4364,94,108,249,38331469,12685565,461213,,12224352,7700775
2023-04-06,3697,107,108,189,38335166,12685467,461211,,12224256,7700778
2023-04-07,4597,105,115,242,38339763,12685352,461198,,12224154,7700832
2023-04-08,835,22,11,54,38340598,12685187,461205,,12223982,7700727
2023-04-09,2437,83,103,159,38343035,12685102,461183,,12223919,7700742
2023-04-10,360,9,6,20,38343395,12684927,461180,,12223747,7700611
2023-04-11,2771,34,28,121,38346166,12684729,461185,,12223544,7700522
2023-04-12,6341,104,96,187,38352507,12684643,461191,,12223452,7700546
2023-04-13,6994,105,128,207,38359501,12684539,461165,,12223374,7700566
2023-04-14,6511,89,102,205,38366012,12684429,461149,,12223280,7700597
2023-04-15,6943,107,149,229,38372955,12684337,461105,,12223232,7700654
2023-04-16,3267,85,144,165,38376222,12684217,461044,,12223173,7700639
2023-04-17,863,12,13,49,38377085,12684050,461040,,12223010,7700534
2023-04-18,4778,101,77,160,38381863,12683951,461062,,12222889,7700517
2023-04-19,6562,118,98,176,38388425,12683863,461081,,12222782,7700509
2023-04-20,6343,100,151,209,38394768,12683777,461029,,12222748,7700553
2023-04-21,5768,85,73,134,38400536,12683667,461039,,12222628,7700516
2023-04-22,6384,92,91,180,38406920,12683567,461038,,12222529,7700535
2023-04-23,3298,119,147,170,38410218,12683513,461010,,12222503,7700552
2023-04-24,954,4,12,58,38411172,12683348,461001,,12222347,7700471
2023-04-25,4804,69,70,186,38415976,12683234,461000,,12222234,7700491
2023-04-26,6564,107,93,208,38422540,12683178,461014,,12222164,7700554
2023-04-27,6873,119,152,207,38429413,12683114,460977,,12222137,7700600
2023-04-28,6610,86,86,184,38436023,12683012,460976,,12222036,7700610
2023-04-29,6524,124,108,197,38442547,12682967,460991,,12221976,7700660
2023-04-30,2637,95,127,145,38445184,12682894,460959,,12221935,7700654
2023-05-01,1029,21,17,29,38446213,12682745,460961,,12221784,7700532
2023-05-02,4322,67,55,105,38450535,12682643,460971,,12221672,7700486
2023-05-03,5595,108,107,176,38456130,12682578,460971,,12221607,7700514
2023-05-04,8081,88,85,133,38464211,12682499,460973,,12221526,7700503
2023-05-05,13033,90,98,168,38477244,12682432,460964,,12221468,7700527
2023-05-06,15630,111,96,154,38492874,12682410,460979,,12221431,7700555
2023-05-07,6058,56,96,106,38498932,12682315,460935,,12221380,7700529
2023-05-08,2165,16,4,37,38501097,12682194,460945,,12221249,7700444
2023-05-09,12543,55,49,129,38513640,12682101,460948,,12221153,7700449
2023-05-10,14733,71,78,156,38528373,12682034,460939,,12221095,7700482
2023-05-11,13302,77,71,154,38541675,12682002,460945,,12221057,7700542
2023-05-12,13471,86,79,176,38555146,12681968,460950,,12221018,7700607
2023-05-13,11435,79,75,146,38566581,12681890,460952,,12220938,7700611
2023-05-14,4182,69,95,92,38570763,12681834,460925,,12220909,7700596
2023-05-15,1053,9,6,38,38571816,12681729,460924,,12220805,7700541
2023-05-16,8935,56,47,93,38580751,12681656,460929,,12220727,7700522
2023-05-17,11095,98,83,141,38591846,12681622,460942,,12220680,7700542
2023-05-18,10812,84,68,144,38602658,12681588,460958,,12220630,7700581
2023-05-19,10377,95,96,151,38613035,12681558,460955,,12220603,7700621
2023-05-20,9306,94,87,159,38622341,12681536,460961,,12220575,7700672
2023-05-21,3072,49,86,94,38625413,12681502,460923,,12220579,7700690
2023-05-22,960,14,10,29,38626373,12681431,460927,,12220504,7700641
2023-05-23,748,7,3,16,38627121,12681355,460931,,12220424,7700583
2023-05-24,7996,58,80,103,38635117,12681313,460909,,12220404,7700593
2023-05-25,9230,73,93,160,38644347,12681313,460887,,12220426,7700687
2023-05-26,7921,72,67,119,38652268,12681312,460892,,12220420,7700742
2023-05-27,8091,105,75,124,38660359,12681346,460920,,12220426,7700803
2023-05-28,2891,57,73,98,38663250,12681355,460903,,12220452,7700858
2023-05-29,962,13,11,30,38664212,12681314,460903,,12220411,7700842
2023-05-30,5862,63,47,105,38670074,12681322,460919,,12220403,7700896
2023-05-31,8099,96,92,119,38678173,12681393,460922,,12220471,7700993
2023-06-01,7181,76,95,114,38685354,12681462,460903,,12220559,7701101
2023-06-02,6262,52,46,119,38691616,12681509,460909,,12220600,7701216
2023-06-03,5380,78,57,117,38696996,12681578,460930,,12220648,7701325
2023-06-04,2028,50,79,75,38699024,12681627,460901,,12220726,7701399
2023-06-05,592,12,6,17,38699616,12681638,460907,,12220731,7701415
2023-06-06,4389,39,36,77,38704005,12681670,460910,,12220760,7701485
2023-06-07,5650,68,64,117,38709655,12681738,460914,,12220824,7701602
2023-06-08,5313,53,67,100,38714968,12681791,460900,,12220891,7701702
