pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,numtoday,percenttoday,ratetotal,numdeathstoday,percentdeath,ratedeaths,numrecoveredtoday,percentrecover,raterecovered,numteststoday,ratetests,numactive,percentactive,rateactive,numtotal_last7,numtotal_last14,ratetotal_last7,ratetotal_last14,avgtotal_last7,avgincidence_last7,numdeaths_last7,numdeaths_last14,ratedeaths_last7,ratedeaths_last14,avgdeaths_last7,avgratedeaths_last7,numtestedtoday,ratetested
11,Prince Edward Island,Île-du-Prince-Édouard,09-05-2020,,27,0,0,27,3777,3699,27,0,0.00,16.43,0,0.00,0.00,0,0.00,16.43,96,22511.23,0,0.00,0.00,0,1,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,110,22985.92
60,Yukon,Yukon,09-05-2020,,11,0,0,11,1075,1045,11,0,0.00,25.59,0,0.00,0.00,0,0.00,25.59,39,24310.24,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,10,25008.14
61,Northwest Territories,Territoires du Nord-Ouest,09-05-2020,,5,0,0,5,1790,1853,5,0,0.00,10.99,0,0.00,0.00,0,0.00,10.99,22,40721.69,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,22,39337.20
62,Nunavut,Nunavut,09-05-2020,,0,0,0,0,568,474,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,17,12029.54,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,18,14415.15
99,Repatriated travellers,Voyageurs rapatriés,09-05-2020,,13,0,0,13,76,48,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,09-05-2020,,67690,11,4679,67701,1071455,967073,31249,1268,1.87,177.01,123,2.63,12.23,1023,3.27,81.71,33547,25285.53,31773,46.93,83.08,10987,22347,28.73,0.00,1569.57,4.10,1123,2218,2.94,5.80,160.00,0.42,36550,28014.75
59,British Columbia,Colombie-Britannique,10-05-2020,,2330,0,129,2330,93431,106682,1659,0,0.00,44.68,0,0.00,2.47,0,0.00,31.81,2219,20457.52,542,23.26,10.39,159,382,3.05,0.00,22.71,0.44,15,29,0.29,0.56,2.00,0.04,1763,17916.49
48,Alberta,Alberta,10-05-2020,,6253,0,117,6253,173023,178392,4389,96,1.54,140.74,1,0.85,2.63,185,4.22,98.79,3781,40152.34,1747,27.94,39.32,487,1773,10.96,0.00,69.57,1.57,22,44,0.50,0.99,3.00,0.07,3608,38943.89
47,Saskatchewan,Saskatchewan,10-05-2020,,564,0,6,564,34093,35201,349,11,1.95,47.80,0,0.00,0.51,9,2.58,29.58,941,29835.30,209,37.06,17.71,131,211,11.10,0.00,18.71,1.59,0,2,0.00,0.17,0.00,0.00,640,28896.19
46,Manitoba,Manitoba,10-05-2020,,276,11,7,287,30046,29706,247,3,1.05,20.74,0,0.00,0.51,0,0.00,17.85,682,21467.52,33,11.50,2.38,6,16,0.43,0.00,0.86,0.06,1,1,0.07,0.07,0.00,0.01,608,21713.22
35,Ontario,Ontario,10-05-2020,,20238,0,1620,20238,419802,269922,14772,294,1.45,136.50,35,2.16,10.93,389,2.63,99.63,19227,18205.65,3846,19.00,25.94,2685,5806,18.11,0.00,383.57,2.59,415,790,2.80,5.33,59.00,0.40,17041,28314.73
24,Quebec,Québec,10-05-2020,,37721,0,2928,37721,278389,306699,9526,735,1.95,438.39,142,4.85,34.03,258,2.71,110.71,8172,35644.04,25267,66.98,293.65,5856,13614,68.06,0.00,836.57,9.72,723,1413,8.40,16.42,103.00,1.20,1602,32353.90
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10-05-2020,,260,0,3,260,9802,13876,244,0,0.00,49.95,0,0.00,0.58,0,0.00,46.87,158,26656.27,13,5.00,2.50,1,2,0.19,0.00,0.14,0.03,0,0,0.00,0.00,0.00,0.00,103,18829.98
13,New Brunswick,Nouveau-Brunswick,10-05-2020,,120,0,0,120,16750,17643,118,0,0.00,15.20,0,0.00,0.00,0,0.00,14.95,368,22354.84,2,1.67,0.25,2,2,0.25,0.00,0.29,0.04,0,0,0.00,0.00,0.00,0.00,333,21223.35
12,Nova Scotia,Nouvelle-Écosse,10-05-2020,,1018,0,47,1018,34820,37979,749,7,0.69,102.62,0,0.00,4.74,6,0.80,75.50,598,38283.16,222,21.81,22.38,47,145,4.74,0.00,6.71,0.68,10,23,1.01,2.32,1.00,0.14,289,35098.86
11,Prince Edward Island,Île-du-Prince-Édouard,10-05-2020,,27,0,0,27,3846,3816,27,0,0.00,16.43,0,0.00,0.00,0,0.00,16.43,117,23223.26,0,0.00,0.00,0,1,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,69,23405.84
60,Yukon,Yukon,10-05-2020,,11,0,0,11,1075,1055,11,0,0.00,25.59,0,0.00,0.00,0,0.00,25.59,10,24542.87,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,25008.14
61,Northwest Territories,Territoires du Nord-Ouest,10-05-2020,,5,0,0,5,1799,1878,5,0,0.00,10.99,0,0.00,0.00,0,0.00,10.99,25,41271.10,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,9,39534.99
62,Nunavut,Nunavut,10-05-2020,,0,0,0,0,568,475,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,1,12054.92,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,14415.15
99,Repatriated travellers,Voyageurs rapatriés,10-05-2020,,13,0,0,13,76,48,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,10-05-2020,,68836,11,4857,68847,1097520,1003372,32096,1146,1.66,180.01,178,3.66,12.70,847,2.64,83.92,36299,26234.62,31894,46.33,83.39,9373,21952,24.51,0.00,1339.00,3.50,1186,2302,3.10,6.02,169.00,0.44,26065,28696.25
59,British Columbia,Colombie-Britannique,11-05-2020,,2353,0,130,2353,94027,108507,1719,23,0.98,45.12,1,0.77,2.49,60,3.49,32.96,1825,20807.49,504,21.42,9.66,129,355,2.47,0.00,18.43,0.35,13,27,0.25,0.52,2.00,0.04,596,18030.78
48,Alberta,Alberta,11-05-2020,,6300,0,117,6300,175502,182606,4659,47,0.75,141.80,0,0.00,2.63,270,5.80,104.86,4214,41100.83,1524,24.19,34.30,464,1604,10.44,0.00,66.29,1.49,13,42,0.29,0.95,2.00,0.04,2479,39501.86
47,Saskatchewan,Saskatchewan,11-05-2020,,568,0,6,568,34585,35944,363,4,0.70,48.14,0,0.00,0.51,14,3.86,30.77,743,30465.04,199,35.04,16.87,101,203,8.56,0.00,14.43,1.22,0,1,0.00,0.08,0.00,0.00,492,29313.20
46,Manitoba,Manitoba,11-05-2020,,278,11,7,289,30398,30347,247,2,0.69,20.89,0,0.00,0.51,0,0.00,17.85,641,21930.75,35,12.11,2.53,8,17,0.58,0.00,1.14,0.08,1,1,0.07,0.07,0.00,0.01,352,21967.60
35,Ontario,Ontario,11-05-2020,,20546,0,1655,20546,433316,287540,15131,308,1.50,138.58,35,2.11,11.16,359,2.37,102.06,17618,19393.95,3760,18.30,25.36,2623,5690,17.69,0.00,374.71,2.53,366,769,2.47,5.19,52.00,0.35,13514,29226.22
24,Quebec,Québec,11-05-2020,,38469,0,3013,38469,284239,314222,9703,748,1.94,447.08,85,2.82,35.02,177,1.82,112.77,7523,36518.35,25753,66.94,299.30,5846,13487,67.94,0.00,835.14,9.71,733,1414,8.52,16.43,105.00,1.22,5850,33033.78
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-05-2020,,260,0,3,260,9896,14160,244,0,0.00,49.95,0,0.00,0.58,0,0.00,46.87,284,27201.84,13,5.00,2.50,1,2,0.19,0.00,0.14,0.03,0,0,0.00,0.00,0.00,0.00,94,19010.55
