"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-05-08","Central","Hamilton Wentworth Det Centre",1,,
"2020-05-08","Central","Maplehurst Correctional Complex",,1,1
"2020-05-08","Central","Ontario Correctional Institute",71,15,2
"2020-05-08","Central","Milton-Vanier Centre For Women",,1,
"2020-05-08","Eastern","Central East Correctional Centre",,1,
"2020-05-08","Northern","Monteith Correctional Centre",,1,
"2020-05-08","Toronto","Toronto South Detention Centre",5,2,
"2020-05-11","Central","Hamilton Wentworth Det Centre",1,,
"2020-05-11","Central","Maplehurst Correctional Complex",,1,1
"2020-05-11","Central","Ontario Correctional Institute",71,15,2
"2020-05-11","Central","Milton-Vanier Centre For Women",,,1
"2020-05-11","Eastern","Central East Correctional Centre",,,1
"2020-05-11","Northern","Monteith Correctional Centre",,1,
"2020-05-11","Toronto","Toronto South Detention Centre",5,2,
"2020-05-12","Central","Hamilton Wentworth Det Centre",1,,
"2020-05-12","Central","Maplehurst Correctional Complex",,1,1
"2020-05-12","Central","Ontario Correctional Institute",71,15,2
"2020-05-12","Central","Milton-Vanier Centre For Women",,,2
"2020-05-12","Eastern","Central East Correctional Centre",,,1
"2020-05-12","Northern","Monteith Correctional Centre",,1,
"2020-05-12","Toronto","Toronto South Detention Centre",5,2,
"2020-05-13","Central","Hamilton Wentworth Det Centre",1,,
"2020-05-13","Central","Maplehurst Correctional Complex",,,1
"2020-05-13","Central","Ontario Correctional Institute",75,13,2
"2020-05-13","Central","Milton-Vanier Centre For Women",,,2
"2020-05-13","Eastern","Central East Correctional Centre",,,1
"2020-05-13","Northern","Monteith Correctional Centre",,1,
"2020-05-13","Toronto","Toronto South Detention Centre",6,1,1
"2020-05-14","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-14","Central","Maplehurst Correctional Complex",1,,1
"2020-05-14","Central","Ontario Correctional Institute",75,13,2
"2020-05-14","Central","Milton-Vanier Centre For Women",,,2
"2020-05-14","Eastern","Central East Correctional Centre",,,1
"2020-05-14","Northern","Monteith Correctional Centre",,1,
"2020-05-14","Toronto","Toronto South Detention Centre",6,1,1
"2020-05-15","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-15","Central","Maplehurst Correctional Complex",1,,1
"2020-05-15","Central","Ontario Correctional Institute",76,13,2
"2020-05-15","Central","Milton-Vanier Centre For Women",,,2
"2020-05-15","Eastern","Central East Correctional Centre",,,1
"2020-05-15","Northern","Monteith Correctional Centre",,1,
"2020-05-15","Toronto","Toronto South Detention Centre",6,1,1
"2020-05-19","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-19","Central","Maplehurst Correctional Complex",3,,1
"2020-05-19","Central","Ontario Correctional Institute",76,13,2
"2020-05-19","Central","Milton-Vanier Centre For Women",,,2
"2020-05-19","Eastern","Central East Correctional Centre",1,,1
"2020-05-19","Northern","Monteith Correctional Centre",,1,
"2020-05-19","Toronto","Toronto South Detention Centre",6,1,1
"2020-05-20","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-20","Central","Maplehurst Correctional Complex",3,,1
"2020-05-20","Central","Ontario Correctional Institute",2,87,2
"2020-05-20","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-20","Eastern","Central East Correctional Centre",1,,1
"2020-05-20","Northern","Monteith Correctional Centre",,1,
"2020-05-20","Toronto","Toronto South Detention Centre",6,1,2
"2020-05-21","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-21","Central","Maplehurst Correctional Complex",5,,1
"2020-05-21","Central","Ontario Correctional Institute",2,87,2
"2020-05-21","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-21","Eastern","Central East Correctional Centre",1,,1
"2020-05-21","Northern","Monteith Correctional Centre",,1,
"2020-05-21","Toronto","Toronto South Detention Centre",7,1,1
"2020-05-21","Central","Niagara Detention Centre",,,1
"2020-05-22","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-22","Central","Maplehurst Correctional Complex",5,,1
"2020-05-22","Central","Ontario Correctional Institute",2,87,2
"2020-05-22","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-22","Eastern","Central East Correctional Centre",1,,1
"2020-05-22","Northern","Monteith Correctional Centre",,1,
"2020-05-22","Toronto","Toronto South Detention Centre",3,5,2
"2020-05-22","Central","Niagara Detention Centre",,,1
"2020-05-25","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-25","Central","Maplehurst Correctional Complex",5,,1
"2020-05-25","Central","Ontario Correctional Institute",1,88,2
"2020-05-25","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-25","Eastern","Central East Correctional Centre",1,,1
"2020-05-25","Northern","Monteith Correctional Centre",,1,
"2020-05-25","Toronto","Toronto South Detention Centre",3,5,2
"2020-05-25","Central","Niagara Detention Centre",,,1
"2020-05-26","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-26","Central","Maplehurst Correctional Complex",4,,2
"2020-05-26","Central","Ontario Correctional Institute",1,88,2
"2020-05-26","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-26","Eastern","Central East Correctional Centre",1,,1
"2020-05-26","Northern","Monteith Correctional Centre",,1,
"2020-05-26","Toronto","Toronto South Detention Centre",2,6,2
"2020-05-26","Central","Niagara Detention Centre",,,1
"2020-05-27","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-27","Central","Maplehurst Correctional Complex",4,,2
"2020-05-27","Central","Ontario Correctional Institute",1,88,2
"2020-05-27","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-27","Eastern","Central East Correctional Centre",1,,1
"2020-05-27","Northern","Monteith Correctional Centre",,1,
"2020-05-27","Toronto","Toronto South Detention Centre",2,6,2
"2020-05-27","Central","Niagara Detention Centre",,,1
"2020-05-28","Northern","Monteith Correctional Centre",,1,
"2020-05-28","Central","Maplehurst Correctional Complex",4,,2
"2020-05-28","Central","Ontario Correctional Institute",1,88,2
"2020-05-28","Toronto","Toronto South Detention Centre",2,6,2
"2020-05-28","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-28","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-28","Eastern","Central East Correctional Centre",1,,1
"2020-05-28","Central","Niagara Detention Centre",,,1
"2020-05-29","Northern","Monteith Correctional Centre",,1,
"2020-05-29","Central","Maplehurst Correctional Complex",3,1,2
"2020-05-29","Central","Ontario Correctional Institute",1,88,2
"2020-05-29","Toronto","Toronto South Detention Centre",2,6,2
"2020-05-29","Central","Milton-Vanier Centre For Women",1,1,2
"2020-05-29","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-29","Eastern","Central East Correctional Centre",1,,1
"2020-05-29","Central","Niagara Detention Centre",,,1
"2020-05-29","Western","Central North Correctional Centre",1,,
"2020-06-01","Northern","Monteith Correctional Centre",,1,
"2020-06-01","Central","Maplehurst Correctional Complex",3,1,2
"2020-06-01","Central","Ontario Correctional Institute",1,88,2
"2020-06-01","Toronto","Toronto South Detention Centre",3,6,2
"2020-06-01","Central","Milton-Vanier Centre For Women",1,1,2
"2020-06-01","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-01","Eastern","Central East Correctional Centre",1,,1
"2020-06-01","Central","Niagara Detention Centre",,,1
"2020-06-01","Western","Central North Correctional Centre",1,,
"2020-06-02","Northern","Monteith Correctional Centre",,1,
"2020-06-02","Central","Maplehurst Correctional Complex",1,3,2
"2020-06-02","Central","Ontario Correctional Institute",1,88,2
"2020-06-02","Toronto","Toronto South Detention Centre",3,6,2
"2020-06-02","Central","Milton-Vanier Centre For Women",1,1,2
"2020-06-02","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-02","Eastern","Central East Correctional Centre",1,,1
"2020-06-02","Central","Niagara Detention Centre",,,1
"2020-06-02","Western","Central North Correctional Centre",1,,
"2020-06-03","Northern","Monteith Correctional Centre",,1,
"2020-06-03","Central","Maplehurst Correctional Complex",1,3,2
"2020-06-03","Central","Ontario Correctional Institute",,89,2
"2020-06-03","Toronto","Toronto South Detention Centre",2,6,3
"2020-06-03","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-03","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-03","Eastern","Central East Correctional Centre",1,,1
"2020-06-03","Central","Niagara Detention Centre",,,1
"2020-06-03","Western","Central North Correctional Centre",1,,
"2020-06-04","Northern","Monteith Correctional Centre",,1,
"2020-06-04","Central","Maplehurst Correctional Complex",1,4,2
"2020-06-04","Central","Ontario Correctional Institute",,89,2
"2020-06-04","Toronto","Toronto South Detention Centre",1,7,3
"2020-06-04","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-04","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-04","Eastern","Central East Correctional Centre",1,,1
"2020-06-04","Central","Niagara Detention Centre",,,1
"2020-06-04","Western","Central North Correctional Centre",1,,
"2020-06-07","Northern","Monteith Correctional Centre",,1,
"2020-06-07","Central","Maplehurst Correctional Complex",1,4,2
"2020-06-07","Central","Ontario Correctional Institute",,89,2
"2020-06-07","Toronto","Toronto South Detention Centre",1,7,3
"2020-06-07","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-07","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-07","Eastern","Central East Correctional Centre",,1,1
"2020-06-07","Central","Niagara Detention Centre",,,1
"2020-06-07","Western","Central North Correctional Centre",1,,
"2020-06-07","Northern","Kenora Jail",2,,
"2020-06-08","Northern","Monteith Correctional Centre",,1,
"2020-06-08","Central","Maplehurst Correctional Complex",1,4,2
"2020-06-08","Central","Ontario Correctional Institute",,89,2
"2020-06-08","Toronto","Toronto South Detention Centre",2,7,3
"2020-06-08","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-08","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-08","Eastern","Central East Correctional Centre",,1,1
"2020-06-08","Central","Niagara Detention Centre",,,1
"2020-06-08","Western","Central North Correctional Centre",1,,
"2020-06-08","Northern","Kenora Jail",2,,
"2020-06-09","Northern","Monteith Correctional Centre",,1,
"2020-06-09","Central","Maplehurst Correctional Complex",2,4,2
"2020-06-09","Central","Ontario Correctional Institute",,89,2
"2020-06-09","Toronto","Toronto South Detention Centre",2,7,3
"2020-06-09","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-09","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-09","Eastern","Central East Correctional Centre",,1,1
"2020-06-09","Central","Niagara Detention Centre",,,1
"2020-06-09","Western","Central North Correctional Centre",1,,
"2020-06-09","Northern","Kenora Jail",2,,
"2020-06-10","Northern","Monteith Correctional Centre",,1,
"2020-06-10","Central","Maplehurst Correctional Complex",2,4,2
"2020-06-10","Central","Ontario Correctional Institute",,89,2
"2020-06-10","Toronto","Toronto South Detention Centre",2,7,3
"2020-06-10","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-10","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-10","Eastern","Central East Correctional Centre",,1,1
"2020-06-10","Central","Niagara Detention Centre",,,1
"2020-06-10","Western","Central North Correctional Centre",1,,
"2020-06-10","Northern","Kenora Jail",2,,
"2020-06-11","Northern","Monteith Correctional Centre",,1,
"2020-06-11","Central","Maplehurst Correctional Complex",2,4,2
"2020-06-11","Central","Ontario Correctional Institute",,89,2
"2020-06-11","Toronto","Toronto South Detention Centre",2,7,3
"2020-06-11","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-11","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-11","Eastern","Central East Correctional Centre",,1,1
"2020-06-11","Central","Niagara Detention Centre",,,1
"2020-06-11","Western","Central North Correctional Centre",1,,
"2020-06-11","Northern","Kenora Jail",2,,
"2020-06-11","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-12","Northern","Monteith Correctional Centre",,1,
"2020-06-12","Central","Maplehurst Correctional Complex",2,4,2
"2020-06-12","Central","Ontario Correctional Institute",,89,2
"2020-06-12","Toronto","Toronto South Detention Centre",1,8,3
"2020-06-12","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-12","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-12","Eastern","Central East Correctional Centre",,1,1
"2020-06-12","Central","Niagara Detention Centre",,,1
"2020-06-12","Western","Central North Correctional Centre",,1,
"2020-06-12","Northern","Kenora Jail",2,,
"2020-06-12","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-15","Northern","Monteith Correctional Centre",,1,
"2020-06-15","Central","Maplehurst Correctional Complex",2,4,2
"2020-06-15","Central","Ontario Correctional Institute",,89,2
"2020-06-15","Toronto","Toronto South Detention Centre",2,8,3
"2020-06-15","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-15","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-15","Eastern","Central East Correctional Centre",,1,1
"2020-06-15","Central","Niagara Detention Centre",,,1
"2020-06-15","Western","Central North Correctional Centre",,1,
"2020-06-15","Northern","Kenora Jail",2,,
"2020-06-15","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-16","Northern","Monteith Correctional Centre",,1,
"2020-06-16","Central","Maplehurst Correctional Complex",1,4,3
"2020-06-16","Central","Ontario Correctional Institute",,89,2
"2020-06-16","Toronto","Toronto South Detention Centre",,8,5
"2020-06-16","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-16","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-16","Eastern","Central East Correctional Centre",,1,1
"2020-06-16","Central","Niagara Detention Centre",,,1
"2020-06-16","Western","Central North Correctional Centre",,1,
"2020-06-16","Northern","Kenora Jail",2,,
"2020-06-16","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-17","Northern","Monteith Correctional Centre",,1,
"2020-06-17","Central","Maplehurst Correctional Complex",1,4,3
"2020-06-17","Central","Ontario Correctional Institute",,89,2
"2020-06-17","Toronto","Toronto South Detention Centre",,8,5
"2020-06-17","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-17","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-17","Eastern","Central East Correctional Centre",,1,1
"2020-06-17","Central","Niagara Detention Centre",,,1
"2020-06-17","Western","Central North Correctional Centre",,1,
"2020-06-17","Northern","Kenora Jail",,2,
"2020-06-17","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-18","Northern","Monteith Correctional Centre",,1,
"2020-06-18","Central","Maplehurst Correctional Complex",1,4,3
"2020-06-18","Central","Ontario Correctional Institute",,89,2
"2020-06-18","Toronto","Toronto South Detention Centre",,8,5
"2020-06-18","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-18","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-18","Eastern","Central East Correctional Centre",,1,1
"2020-06-18","Central","Niagara Detention Centre",,,1
"2020-06-18","Western","Central North Correctional Centre",,1,
"2020-06-18","Northern","Kenora Jail",,2,
"2020-06-18","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-21","Northern","Monteith Correctional Centre",,1,
"2020-06-21","Central","Maplehurst Correctional Complex",1,4,3
"2020-06-21","Central","Ontario Correctional Institute",,89,2
"2020-06-21","Toronto","Toronto South Detention Centre",,8,5
"2020-06-21","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-21","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-21","Eastern","Central East Correctional Centre",,1,1
"2020-06-21","Central","Niagara Detention Centre",,,1
"2020-06-21","Western","Central North Correctional Centre",,1,
"2020-06-21","Northern","Kenora Jail",,2,
"2020-06-21","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-22","Northern","Monteith Correctional Centre",,1,
"2020-06-22","Central","Maplehurst Correctional Complex",,5,3
"2020-06-22","Central","Ontario Correctional Institute",,89,2
"2020-06-22","Toronto","Toronto South Detention Centre",1,8,5
"2020-06-22","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-22","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-22","Eastern","Central East Correctional Centre",,1,1
"2020-06-22","Central","Niagara Detention Centre",,,1
"2020-06-22","Western","Central North Correctional Centre",,1,
"2020-06-22","Northern","Kenora Jail",,2,
"2020-06-22","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-23","Northern","Monteith Correctional Centre",,1,
"2020-06-23","Central","Maplehurst Correctional Complex",,5,3
"2020-06-23","Central","Ontario Correctional Institute",,89,2
"2020-06-23","Toronto","Toronto South Detention Centre",1,8,5
"2020-06-23","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-23","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-23","Eastern","Central East Correctional Centre",,1,1
"2020-06-23","Central","Niagara Detention Centre",,,1
"2020-06-23","Western","Central North Correctional Centre",,1,
"2020-06-23","Northern","Kenora Jail",,2,
"2020-06-23","Western","Elgin-Middlesex Det. Centre",,1,
"2020-06-24","Northern","Monteith Correctional Centre",,1,
"2020-06-24","Central","Maplehurst Correctional Complex",,5,3
"2020-06-24","Central","Ontario Correctional Institute",,89,2
"2020-06-24","Toronto","Toronto South Detention Centre",1,8,5
"2020-06-24","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-24","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-24","Eastern","Central East Correctional Centre",,1,1
"2020-06-24","Central","Niagara Detention Centre",,,1
"2020-06-24","Western","Central North Correctional Centre",,1,
"2020-06-24","Northern","Kenora Jail",,2,
"2020-06-24","Western","Elgin-Middlesex Det. Centre",,1,
"2020-06-25","Northern","Monteith Correctional Centre",,1,
"2020-06-25","Central","Maplehurst Correctional Complex",,5,3
"2020-06-25","Central","Ontario Correctional Institute",,89,2
"2020-06-25","Toronto","Toronto South Detention Centre",1,8,5
"2020-06-25","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-25","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-25","Eastern","Central East Correctional Centre",,1,1
"2020-06-25","Central","Niagara Detention Centre",,,1
"2020-06-25","Western","Central North Correctional Centre",,1,
"2020-06-25","Northern","Kenora Jail",,2,
"2020-06-25","Western","Elgin-Middlesex Det. Centre",,1,
"2020-06-28","Northern","Monteith Correctional Centre",,1,
"2020-06-28","Central","Maplehurst Correctional Complex",,5,3
"2020-06-28","Central","Ontario Correctional Institute",,89,2
"2020-06-28","Toronto","Toronto South Detention Centre",2,8,5
"2020-06-28","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-28","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-28","Eastern","Central East Correctional Centre",,1,1
"2020-06-28","Central","Niagara Detention Centre",,,1
"2020-06-28","Western","Central North Correctional Centre",,1,
"2020-06-28","Northern","Kenora Jail",,2,
"2020-06-28","Western","Elgin-Middlesex Det. Centre",,1,
"2020-06-29","Northern","Monteith Correctional Centre",,1,
"2020-06-29","Central","Maplehurst Correctional Complex",,5,3
"2020-06-29","Central","Ontario Correctional Institute",,89,2
"2020-06-29","Toronto","Toronto South Detention Centre",1,8,6
"2020-06-29","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-29","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-29","Eastern","Central East Correctional Centre",,1,1
"2020-06-29","Central","Niagara Detention Centre",,,1
"2020-06-29","Western","Central North Correctional Centre",,1,
"2020-06-29","Northern","Kenora Jail",,2,
"2020-06-29","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-01","Northern","Monteith Correctional Centre",,1,
"2020-07-01","Central","Maplehurst Correctional Complex",,5,3
"2020-07-01","Central","Ontario Correctional Institute",,89,2
"2020-07-01","Toronto","Toronto South Detention Centre",2,8,6
"2020-07-01","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-01","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-01","Eastern","Central East Correctional Centre",,1,1
"2020-07-01","Central","Niagara Detention Centre",,,1
"2020-07-01","Western","Central North Correctional Centre",,1,
"2020-07-01","Northern","Kenora Jail",,2,
"2020-07-01","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-02","Northern","Monteith Correctional Centre",,1,
"2020-07-02","Central","Maplehurst Correctional Complex",,5,3
"2020-07-02","Central","Ontario Correctional Institute",,89,2
"2020-07-02","Toronto","Toronto South Detention Centre",2,8,6
"2020-07-02","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-02","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-02","Eastern","Central East Correctional Centre",,1,1
"2020-07-02","Central","Niagara Detention Centre",,,1
"2020-07-02","Western","Central North Correctional Centre",,1,
"2020-07-02","Northern","Kenora Jail",,2,
"2020-07-02","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-05","Northern","Monteith Correctional Centre",,1,
"2020-07-05","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-05","Central","Ontario Correctional Institute",,89,2
"2020-07-05","Toronto","Toronto South Detention Centre",3,8,6
"2020-07-05","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-05","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-05","Eastern","Central East Correctional Centre",,1,1
"2020-07-05","Central","Niagara Detention Centre",,,1
"2020-07-05","Western","Central North Correctional Centre",,1,
"2020-07-05","Northern","Kenora Jail",,2,
"2020-07-05","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-06","Northern","Monteith Correctional Centre",,1,
"2020-07-06","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-06","Central","Ontario Correctional Institute",,89,2
"2020-07-06","Toronto","Toronto South Detention Centre",3,8,6
"2020-07-06","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-06","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-06","Eastern","Central East Correctional Centre",,1,1
"2020-07-06","Central","Niagara Detention Centre",,,1
"2020-07-06","Western","Central North Correctional Centre",,1,
"2020-07-06","Northern","Kenora Jail",,2,
"2020-07-06","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-07","Northern","Monteith Correctional Centre",,1,
"2020-07-07","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-07","Central","Ontario Correctional Institute",,89,2
"2020-07-07","Toronto","Toronto South Detention Centre",2,8,7
"2020-07-07","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-07","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-07","Eastern","Central East Correctional Centre",,1,1
"2020-07-07","Central","Niagara Detention Centre",,,1
"2020-07-07","Western","Central North Correctional Centre",,1,
"2020-07-07","Northern","Kenora Jail",,2,
"2020-07-07","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-08","Northern","Monteith Correctional Centre",,1,
"2020-07-08","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-08","Central","Ontario Correctional Institute",,89,2
"2020-07-08","Toronto","Toronto South Detention Centre",2,8,7
"2020-07-08","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-08","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-08","Eastern","Central East Correctional Centre",,1,1
"2020-07-08","Central","Niagara Detention Centre",,,1
"2020-07-08","Western","Central North Correctional Centre",,1,
"2020-07-08","Northern","Kenora Jail",,2,
"2020-07-08","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-09","Northern","Monteith Correctional Centre",,1,
"2020-07-09","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-09","Central","Ontario Correctional Institute",,89,2
"2020-07-09","Toronto","Toronto South Detention Centre",3,8,7
"2020-07-09","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-09","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-09","Eastern","Central East Correctional Centre",,1,1
"2020-07-09","Central","Niagara Detention Centre",,,1
"2020-07-09","Western","Central North Correctional Centre",,1,
"2020-07-09","Northern","Kenora Jail",,2,
"2020-07-09","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-12","Northern","Monteith Correctional Centre",,1,
"2020-07-12","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-12","Central","Ontario Correctional Institute",,89,2
"2020-07-12","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-12","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-12","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-12","Eastern","Central East Correctional Centre",,1,1
"2020-07-12","Central","Niagara Detention Centre",,,1
"2020-07-12","Western","Central North Correctional Centre",,1,
"2020-07-12","Northern","Kenora Jail",,2,
"2020-07-12","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-13","Northern","Monteith Correctional Centre",,1,
"2020-07-13","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-13","Central","Ontario Correctional Institute",,89,2
"2020-07-13","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-13","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-13","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-13","Eastern","Central East Correctional Centre",,1,1
"2020-07-13","Central","Niagara Detention Centre",,,1
"2020-07-13","Western","Central North Correctional Centre",1,1,
"2020-07-13","Northern","Kenora Jail",,2,
"2020-07-13","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-14","Northern","Monteith Correctional Centre",,1,
"2020-07-14","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-14","Central","Ontario Correctional Institute",,89,2
"2020-07-14","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-14","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-14","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-14","Eastern","Central East Correctional Centre",,1,1
"2020-07-14","Central","Niagara Detention Centre",,,1
"2020-07-14","Western","Central North Correctional Centre",1,1,
"2020-07-14","Northern","Kenora Jail",,2,
"2020-07-14","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-15","Northern","Monteith Correctional Centre",,1,
"2020-07-15","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-15","Central","Ontario Correctional Institute",,89,2
"2020-07-15","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-15","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-15","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-15","Eastern","Central East Correctional Centre",,1,1
"2020-07-15","Central","Niagara Detention Centre",,,1
"2020-07-15","Western","Central North Correctional Centre",1,1,
"2020-07-15","Northern","Kenora Jail",,2,
"2020-07-15","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-16","Northern","Monteith Correctional Centre",,1,
"2020-07-16","Central","Maplehurst Correctional Complex",1,5,3
"2020-07-16","Central","Ontario Correctional Institute",,89,2
"2020-07-16","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-16","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-16","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-16","Eastern","Central East Correctional Centre",,1,1
"2020-07-16","Central","Niagara Detention Centre",,,1
"2020-07-16","Western","Central North Correctional Centre",1,1,
"2020-07-16","Northern","Kenora Jail",,2,
"2020-07-16","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-19","Northern","Monteith Correctional Centre",,1,
"2020-07-19","Central","Maplehurst Correctional Complex",,6,3
"2020-07-19","Central","Ontario Correctional Institute",,89,2
"2020-07-19","Toronto","Toronto South Detention Centre",2,9,7
"2020-07-19","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-19","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-19","Eastern","Central East Correctional Centre",,1,1
"2020-07-19","Central","Niagara Detention Centre",,,1
"2020-07-19","Western","Central North Correctional Centre",,1,1
"2020-07-19","Northern","Kenora Jail",,2,
"2020-07-19","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-20","Northern","Monteith Correctional Centre",,1,
"2020-07-20","Central","Maplehurst Correctional Complex",,6,3
"2020-07-20","Central","Ontario Correctional Institute",,89,2
"2020-07-20","Toronto","Toronto South Detention Centre",1,10,7
